id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
50;2.85;0.32;4.64;173%;18976;95944;208840;0;./7z_bzip2_decomp.sh tmp/50_sample_config.bz2 tmp
51;5.05;0.32;4.62;97%;18972;95944;208840;0;./7z_bzip2_decomp.sh tmp/51_sample_config.bz2 tmp
52;5.02;0.31;4.74;100%;18776;95944;208840;0;./7z_bzip2_decomp.sh tmp/52_sample_config.bz2 tmp
53;6.48;0.30;4.69;77%;18536;95944;208840;0;./7z_bzip2_decomp.sh tmp/53_sample_config.bz2 tmp
54;2.67;0.30;4.70;187%;18864;95944;208840;0;./7z_bzip2_decomp.sh tmp/54_sample_config.bz2 tmp
55;3.86;0.31;4.80;132%;18840;95944;208840;0;./7z_bzip2_decomp.sh tmp/55_sample_config.bz2 tmp
56;3.14;0.30;5.13;173%;18752;95944;208840;0;./7z_bzip2_decomp.sh tmp/56_sample_config.bz2 tmp
57;4.75;0.33;4.97;111%;18832;96088;208840;0;./7z_bzip2_decomp.sh tmp/57_sample_config.bz2 tmp
58;5.84;0.31;4.83;88%;18800;95960;208840;0;./7z_bzip2_decomp.sh tmp/58_sample_config.bz2 tmp
59;7.17;0.35;4.81;72%;18820;95944;208840;0;./7z_bzip2_decomp.sh tmp/59_sample_config.bz2 tmp
60;3.91;0.33;4.86;132%;18676;95944;208840;0;./7z_bzip2_decomp.sh tmp/60_sample_config.bz2 tmp
61;2.89;0.30;5.12;187%;18860;95944;208840;0;./7z_bzip2_decomp.sh tmp/61_sample_config.bz2 tmp
62;2.82;0.31;4.66;176%;18952;95944;208840;0;./7z_bzip2_decomp.sh tmp/62_sample_config.bz2 tmp
63;5.16;0.28;4.76;97%;18980;95944;208840;0;./7z_bzip2_decomp.sh tmp/63_sample_config.bz2 tmp
64;4.52;0.29;4.81;113%;18624;95944;208840;0;./7z_bzip2_decomp.sh tmp/64_sample_config.bz2 tmp
65;6.54;0.30;4.50;73%;18852;95944;208840;0;./7z_bzip2_decomp.sh tmp/65_sample_config.bz2 tmp
66;3.23;0.32;4.97;164%;18712;95944;208840;0;./7z_bzip2_decomp.sh tmp/66_sample_config.bz2 tmp
67;3.29;0.33;4.44;144%;18724;95944;208840;0;./7z_bzip2_decomp.sh tmp/67_sample_config.bz2 tmp
68;2.82;0.31;4.59;173%;18448;95944;208840;0;./7z_bzip2_decomp.sh tmp/68_sample_config.bz2 tmp
69;3.71;0.30;4.48;128%;18756;95944;208840;0;./7z_bzip2_decomp.sh tmp/69_sample_config.bz2 tmp
