id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
48;10.65;0.17;39.04;368%;49496;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/48_sample_image-data.bz2
49;10.83;0.21;39.24;364%;48404;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/49_sample_image-data.bz2
50;10.62;0.19;39.06;369%;49004;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/50_sample_image-data.bz2
51;10.26;0.17;39.34;385%;49576;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/51_sample_image-data.bz2
52;10.58;0.16;39.35;373%;49168;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/52_sample_image-data.bz2
53;11.40;0.19;39.34;346%;49396;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/53_sample_image-data.bz2
54;10.13;0.15;39.17;388%;49520;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/54_sample_image-data.bz2
55;10.18;0.14;39.36;388%;48112;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/55_sample_image-data.bz2
56;10.14;0.18;39.42;390%;49084;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/56_sample_image-data.bz2
57;10.37;0.16;39.16;379%;49420;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/57_sample_image-data.bz2
58;10.20;0.18;39.39;387%;49384;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/58_sample_image-data.bz2
59;10.81;0.19;39.45;366%;49340;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/59_sample_image-data.bz2
60;10.64;0.14;39.27;370%;48500;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/60_sample_image-data.bz2
61;10.51;0.17;39.16;374%;48412;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/61_sample_image-data.bz2
62;10.12;0.18;39.24;389%;48808;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/62_sample_image-data.bz2
63;10.06;0.20;39.06;390%;48904;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/63_sample_image-data.bz2
64;10.15;0.18;39.27;388%;49516;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/64_sample_image-data.bz2
65;12.17;0.18;39.47;325%;49404;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/65_sample_image-data.bz2
66;10.07;0.20;39.02;389%;49440;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/66_sample_image-data.bz2
67;10.26;0.16;39.50;386%;48468;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/67_sample_image-data.bz2
68;10.13;0.17;39.27;389%;48640;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/68_sample_image-data.bz2
69;10.24;0.16;39.46;386%;49384;0;193280;0;./7z_bzip2_comp.sh sample_image-data tmp/69_sample_image-data.bz2
