id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
43;10.93;0.21;43.01;395%;49348;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/43_sample_vid.mp4.bz2
44;11.71;0.23;42.70;366%;49464;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/44_sample_vid.mp4.bz2
45;10.88;0.21;42.71;394%;49508;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/45_sample_vid.mp4.bz2
46;10.95;0.18;43.11;395%;49396;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/46_sample_vid.mp4.bz2
47;11.28;0.19;42.73;380%;49440;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/47_sample_vid.mp4.bz2
48;11.02;0.14;43.05;392%;49168;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/48_sample_vid.mp4.bz2
49;10.96;0.22;42.80;392%;48504;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/49_sample_vid.mp4.bz2
50;11.08;0.18;42.98;389%;48420;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/50_sample_vid.mp4.bz2
51;11.01;0.16;42.81;390%;49272;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/51_sample_vid.mp4.bz2
52;11.04;0.16;42.80;389%;48304;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/52_sample_vid.mp4.bz2
53;10.92;0.18;42.80;393%;48348;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/53_sample_vid.mp4.bz2
54;10.90;0.18;42.74;393%;49588;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/54_sample_vid.mp4.bz2
55;12.02;0.17;42.90;358%;48156;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/55_sample_vid.mp4.bz2
56;11.10;0.19;42.69;386%;49464;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/56_sample_vid.mp4.bz2
57;10.90;0.19;42.56;392%;48816;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/57_sample_vid.mp4.bz2
58;10.89;0.13;42.71;393%;49384;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/58_sample_vid.mp4.bz2
59;10.97;0.19;43.00;393%;49332;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/59_sample_vid.mp4.bz2
60;10.97;0.16;43.37;396%;47624;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/60_sample_vid.mp4.bz2
61;10.86;0.20;42.86;396%;45040;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/61_sample_vid.mp4.bz2
62;10.98;0.18;43.07;393%;44728;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/62_sample_vid.mp4.bz2
63;11.09;0.20;43.01;389%;44776;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/63_sample_vid.mp4.bz2
64;11.16;0.20;43.11;388%;44828;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/64_sample_vid.mp4.bz2
65;10.94;0.21;42.84;393%;44872;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/65_sample_vid.mp4.bz2
66;11.06;0.18;43.01;390%;45044;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/66_sample_vid.mp4.bz2
67;11.12;0.17;43.14;389%;44876;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/67_sample_vid.mp4.bz2
68;11.11;0.17;43.36;391%;44680;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/68_sample_vid.mp4.bz2
69;11.18;0.19;43.10;387%;45380;0;209248;0;./7z_bzip2_comp.sh sample_vid.mp4 tmp/69_sample_vid.mp4.bz2
