id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
50;4.89;0.23;6.94;146%;18720;195304;196032;0;./7z_bzip2_decomp.sh tmp/50_sample_music.bz2 tmp
51;3.98;0.22;7.05;182%;18796;195304;196032;0;./7z_bzip2_decomp.sh tmp/51_sample_music.bz2 tmp
52;4.26;0.23;6.93;168%;19060;195304;196032;0;./7z_bzip2_decomp.sh tmp/52_sample_music.bz2 tmp
53;4.39;0.25;7.12;167%;18708;195304;196032;0;./7z_bzip2_decomp.sh tmp/53_sample_music.bz2 tmp
54;4.40;0.20;6.78;158%;19120;195304;196032;0;./7z_bzip2_decomp.sh tmp/54_sample_music.bz2 tmp
55;4.51;0.18;6.84;155%;18680;195304;196032;0;./7z_bzip2_decomp.sh tmp/55_sample_music.bz2 tmp
56;4.30;0.22;7.00;167%;18920;195304;196032;0;./7z_bzip2_decomp.sh tmp/56_sample_music.bz2 tmp
57;3.90;0.20;6.93;182%;18924;195304;196032;0;./7z_bzip2_decomp.sh tmp/57_sample_music.bz2 tmp
58;4.58;0.23;6.85;154%;18880;195304;196032;0;./7z_bzip2_decomp.sh tmp/58_sample_music.bz2 tmp
59;5.43;0.20;6.64;126%;18752;195304;196032;0;./7z_bzip2_decomp.sh tmp/59_sample_music.bz2 tmp
60;3.85;0.22;6.60;177%;18708;195304;196032;0;./7z_bzip2_decomp.sh tmp/60_sample_music.bz2 tmp
61;4.24;0.20;6.88;166%;18796;195304;196032;0;./7z_bzip2_decomp.sh tmp/61_sample_music.bz2 tmp
62;3.91;0.21;6.55;173%;19024;195304;196032;0;./7z_bzip2_decomp.sh tmp/62_sample_music.bz2 tmp
63;3.82;0.19;6.95;187%;18952;195304;196032;0;./7z_bzip2_decomp.sh tmp/63_sample_music.bz2 tmp
64;5.32;0.18;6.82;131%;18920;195304;196032;0;./7z_bzip2_decomp.sh tmp/64_sample_music.bz2 tmp
65;4.42;0.18;6.99;162%;18704;195304;196032;0;./7z_bzip2_decomp.sh tmp/65_sample_music.bz2 tmp
66;4.47;0.20;6.59;152%;18636;195304;196032;0;./7z_bzip2_decomp.sh tmp/66_sample_music.bz2 tmp
67;4.11;0.18;6.70;167%;18816;195304;196032;0;./7z_bzip2_decomp.sh tmp/67_sample_music.bz2 tmp
68;4.22;0.22;6.50;159%;18972;195304;196032;0;./7z_bzip2_decomp.sh tmp/68_sample_music.bz2 tmp
69;4.24;0.25;6.67;163%;18700;195304;196032;0;./7z_bzip2_decomp.sh tmp/69_sample_music.bz2 tmp
