id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
51;10.66;0.19;41.54;391%;48824;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/51_sample_music.bz2
52;10.69;0.17;41.90;393%;48460;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/52_sample_music.bz2
53;10.63;0.20;41.75;394%;48684;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/53_sample_music.bz2
54;10.75;0.15;42.13;393%;48348;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/54_sample_music.bz2
55;10.69;0.14;41.95;393%;48948;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/55_sample_music.bz2
56;12.20;0.21;41.56;342%;49352;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/56_sample_music.bz2
57;10.81;0.18;41.60;386%;49520;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/57_sample_music.bz2
58;10.69;0.19;41.71;391%;49432;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/58_sample_music.bz2
59;10.74;0.19;41.86;391%;49168;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/59_sample_music.bz2
60;10.66;0.19;41.65;392%;49276;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/60_sample_music.bz2
61;10.71;0.15;41.70;390%;49132;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/61_sample_music.bz2
62;10.74;0.19;41.81;390%;48472;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/62_sample_music.bz2
63;10.84;0.15;41.86;387%;49504;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/63_sample_music.bz2
64;10.79;0.14;41.49;385%;49184;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/64_sample_music.bz2
65;10.85;0.18;41.62;384%;49308;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/65_sample_music.bz2
66;10.84;0.16;41.96;388%;52916;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/66_sample_music.bz2
67;10.88;0.17;41.92;386%;48940;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/67_sample_music.bz2
68;10.62;0.24;41.73;394%;44788;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/68_sample_music.bz2
69;12.72;0.16;42.26;333%;46720;0;195304;0;./7z_bzip2_comp.sh sample_music tmp/69_sample_music.bz2
