id of repetition;elapsed wall clock time[s];CPU-time (system)[s];CPU-time (user)[s];percentage CPU;maximum resident set size[Kilobytes];file system inputs;file system outputs;command exit code;command
51;1.49;0.04;1.45;99%;22208;0;195320;0;./7z_7z_decomp.sh tmp/51_sample_enwik8.7z tmp
52;1.53;0.03;1.49;99%;22328;0;195320;0;./7z_7z_decomp.sh tmp/52_sample_enwik8.7z tmp
53;1.53;0.05;1.47;99%;22344;0;195320;0;./7z_7z_decomp.sh tmp/53_sample_enwik8.7z tmp
54;1.50;0.04;1.45;99%;22376;0;195320;0;./7z_7z_decomp.sh tmp/54_sample_enwik8.7z tmp
55;1.50;0.07;1.43;99%;22196;0;195320;0;./7z_7z_decomp.sh tmp/55_sample_enwik8.7z tmp
56;1.57;0.06;1.45;96%;22192;5888;195320;0;./7z_7z_decomp.sh tmp/56_sample_enwik8.7z tmp
57;2.78;0.05;1.56;58%;22252;50944;195320;0;./7z_7z_decomp.sh tmp/57_sample_enwik8.7z tmp
58;3.29;0.06;1.53;48%;22308;50944;195320;0;./7z_7z_decomp.sh tmp/58_sample_enwik8.7z tmp
59;2.14;0.11;1.51;75%;22216;50944;195320;0;./7z_7z_decomp.sh tmp/59_sample_enwik8.7z tmp
60;2.70;0.09;1.57;61%;22208;50944;195320;0;./7z_7z_decomp.sh tmp/60_sample_enwik8.7z tmp
61;2.97;0.06;1.61;56%;22308;50944;195320;0;./7z_7z_decomp.sh tmp/61_sample_enwik8.7z tmp
62;2.12;0.07;1.54;76%;22308;50944;195320;0;./7z_7z_decomp.sh tmp/62_sample_enwik8.7z tmp
63;2.68;0.08;1.54;60%;22228;50432;195320;0;./7z_7z_decomp.sh tmp/63_sample_enwik8.7z tmp
64;2.16;0.09;1.53;75%;22428;50432;195320;0;./7z_7z_decomp.sh tmp/64_sample_enwik8.7z tmp
65;2.49;0.06;1.57;65%;22408;50944;195320;0;./7z_7z_decomp.sh tmp/65_sample_enwik8.7z tmp
66;2.24;0.09;1.51;71%;22152;50944;195320;0;./7z_7z_decomp.sh tmp/66_sample_enwik8.7z tmp
67;2.18;0.07;1.54;74%;22120;50944;195320;0;./7z_7z_decomp.sh tmp/67_sample_enwik8.7z tmp
68;2.21;0.07;1.55;73%;22220;50432;195320;0;./7z_7z_decomp.sh tmp/68_sample_enwik8.7z tmp
69;2.74;0.06;1.60;60%;22116;50944;195320;0;./7z_7z_decomp.sh tmp/69_sample_enwik8.7z tmp
